country,value,continent,increase
United States,12555.264,Europe,34.13032814
Switzerland,8049.11,Africa,28.6023011
Germany,8010.935,Africa,51.17524563
Norway,7771.165,Americas,35.69638391
Austria,7275.354,Americas,47.16962583
Netherlands,6729.134,Asia,36.57381699
France,6629.556,Europe,41.95522479
Belgium,6599.981,Asia,36.98826692
Sweden,6437.692,Asia,28.6475771
Luxembourg,6436.062,Americas,37.16188036
Australia,6372.027,Europe,33.41323717
Canada,6319.038,Europe,36.3872468
Denmark,6279.807,Americas,33.06418086
New Zealand,6060.93,Africa,73.13386193
Ireland,6046.548,Asia,40.31806103
Finland,5598.892,Americas,40.23548695
United Kingdom,5492.642,Europe,44.7497837
Iceland,5314.11,Africa,42.34152044
Japan,5250.603,Americas,16.27810617
Korea,4569.508,Europe,85.3059662
Czechia,4512.162,Africa,73.15250189
Spain,4431.858,Africa,46.77315568
Italy,4290.689,Africa,38.90530413
Portugal,4162.088,Asia,57.92038204
Slovenia,4113.818,Africa,59.49475842
Lithuania,3587.327,Americas,87.12375227
Latvia,3445.296,Africa,145.2770253
Israel,3444.392,Africa,49.10665237
Estonia,3102.516,Americas,59.88963163
Greece,3015.251,Asia,42.03225348
Poland,2972.962,Americas,63.44987556
Hungary,2840.101,Africa,50.17073382
Slovak Republic,2755.944,Americas,33.84008407
Chile,2699.394,Europe,47.22211314
Türkiye,1827.482,Europe,75.70117719
Costa Rica,1658.141,Africa,19.9300588
Colombia,1639.872,Europe,58.43867751
Mexico,1181.041,Africa,11.14728056
