"Country,Value"
"Australia,6372.027"
"Austria,7275.354"
"Belgium,6599.981"
"Canada,6319.038"
"Estonia,3102.516"
"Denmark,6279.807"
"Germany,8010.935"
"Switzerland,8049.11"
"Costa Rica,1658.141"
"Spain,4431.858"
"Colombia,1639.872"
"Finland,5598.892"
"Ireland,6046.548"
"France,6629.556"
"Hungary,2840.101"
"United Kingdom,5492.642"
"Iceland,5314.11"
"Greece,3015.251"
"Lithuania,3587.327"
"Italy,4290.689"
"Luxembourg,6436.062"
"Latvia,3445.296"
"Israel,3444.392"
"Mexico,1181.041"
"Netherlands,6729.134"
"Poland,2972.962"
"Portugal,4162.088"
"Slovak Republic,2755.944"
"Slovenia,4113.818"
"Sweden,6437.692"
"Korea,4569.508"
"Türkiye,1827.482"
"United States,12555.264"
"Norway,7771.165"
"Japan,5250.603"
"Chile,2699.394"
"Czechia,4512.162"
"New Zealand,6060.93"
