Value,LifeExpectancy,Year,Country,Continent
4776.158,82.7,2015,Australia,Oceania
5037.266,82.9,2016,Australia,Oceania
5074.653,83.0,2017,Australia,Oceania
5190.886,83.4,2018,Australia,Oceania
5126.653,83.1,2019,Australia,Oceania
5692.402,84.3,2020,Australia,Oceania
6225.535,84.5,2021,Australia,Oceania
4943.516,81.2,2015,Austria,Europe
5195.532,81.6,2016,Austria,Europe
5315.355,81.6,2017,Austria,Europe
5518.538,81.7,2018,Austria,Europe
5625.442,81.9,2019,Austria,Europe
5863.664,81.5,2020,Austria,Europe
6690.093,81.6,2021,Austria,Europe
4817.917,80.9,2015,Belgium,Europe
5013.354,81.3,2016,Belgium,Europe
5143.526,81.4,2017,Belgium,Europe
5350.974,81.5,2018,Belgium,Europe
5423.676,81.8,2019,Belgium,Europe
5509.054,80.8,2020,Belgium,Europe
6022.253,81.9,2021,Belgium,Europe
4633.159,81.9,2015,Canada,North America
5043.699,82.0,2016,Canada,North America
5171.553,82.0,2017,Canada,North America
5337.4,82.1,2018,Canada,North America
5222.644,82.4,2019,Canada,North America
5879.075,82.0,2020,Canada,North America
6277.503,82.7,2021,Canada,North America
1940.411,77.7,2015,Estonia,Europe
2096.544,77.8,2016,Estonia,Europe
2201.474,78.0,2017,Estonia,Europe
2364.073,78.1,2018,Estonia,Europe
2453.074,78.7,2019,Estonia,Europe
2731.011,78.3,2020,Estonia,Europe
3073.593,77.1,2021,Estonia,Europe
4719.382,80.7,2015,Denmark,Europe
4894.079,80.9,2016,Denmark,Europe
5112.959,81.1,2017,Denmark,Europe
5306.704,81.0,2018,Denmark,Europe
5359.776,81.4,2019,Denmark,Europe
5697.193,81.5,2020,Denmark,Europe
6372.074,81.4,2021,Denmark,Europe
5299.105,80.6,2015,Germany,Europe
5673.733,80.8,2016,Germany,Europe
5976.472,80.9,2017,Germany,Europe
6290.078,81.2,2018,Germany,Europe
6418.323,81.6,2019,Germany,Europe
6945.909,81.1,2020,Germany,Europe
7518.153,80.6,2021,Germany,Europe
6258.916,82.8,2015,Switzerland,Europe
6547.904,83.4,2016,Switzerland,Europe
6518.816,83.4,2017,Switzerland,Europe
6601.596,83.6,2018,Switzerland,Europe
6708.349,83.8,2019,Switzerland,Europe
7022.378,83.1,2020,Switzerland,Europe
7582.184,84.0,2021,Switzerland,Europe
1382.59,79.1,2015,Costa Rica,North America
1413.267,79.5,2016,Costa Rica,North America
1445.438,79.4,2017,Costa Rica,North America
1529.721,79.5,2018,Costa Rica,North America
1556.168,79.4,2019,Costa Rica,North America
1617.823,79.3,2020,Costa Rica,North America
1670.558,77.0,2021,Costa Rica,North America
3019.529,82.6,2015,Spain,Europe
3148.656,83.0,2016,Spain,Europe
3317.92,83.0,2017,Spain,Europe
3427.322,83.1,2018,Spain,Europe
3528.382,83.5,2019,Spain,Europe
3715.968,82.3,2020,Spain,Europe
4086.783,83.0,2021,Spain,Europe
1035.02,76.3,2015,Colombia,South America
1101.628,76.5,2016,Colombia,South America
1139.442,76.6,2017,Colombia,South America
1191.885,76.7,2018,Colombia,South America
1239.66,76.8,2019,Colombia,South America
1293.223,74.8,2020,Colombia,South America
1532.348,72.8,2021,Colombia,South America
3992.493,81.4,2015,Finland,Europe
4103.554,81.3,2016,Finland,Europe
4215.309,81.5,2017,Finland,Europe
4330.443,81.6,2018,Finland,Europe
4383.634,81.9,2019,Finland,Europe
4614.556,81.9,2020,Finland,Europe
5251.501,82.0,2021,Finland,Europe
4309.173,81.4,2015,Ireland,Europe
4553.266,81.6,2016,Ireland,Europe
4682.722,81.9,2017,Ireland,Europe
4876.91,82.1,2018,Ireland,Europe
4976.129,82.3,2019,Ireland,Europe
5378.183,82.5,2020,Ireland,Europe
